--------------------
BDMEP - INMET
--------------------
Estação           : XXXXX
Latitude  (graus) : 
Longitude (graus) : 
Altitude  (metros): 
Estação Operante
Inicio de operação: 01/01/1958
Periodo solicitado dos dados: 01/01/1980 a 31/12/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Umidade Relativa Media;Velocidade do Vento Media;
83222;01/01/1980;0000;;31.4;;3.6;75.25;3.066667;
83222;01/01/1980;1200;17.9;;22;;;;
83222;02/01/1980;0000;;30.4;;0.7;67;2.4;
83222;02/01/1980;1200;0;;22.8;;;;
83222;03/01/1980;0000;;29;;0;78.5;3.833333;
83222;03/01/1980;1200;0;;23.6;;;;
83222;04/01/1980;0000;;29.2;21.4;0;93.5;4.5;
83222;04/01/1980;1200;0;;21.4;;;;
83222;05/01/1980;0000;;26.6;;0;91.75;2.4;
83222;05/01/1980;1200;62.8;;21;;;;
83222;06/01/1980;0000;;28;19.8;5.3;91.25;4.5;
83222;06/01/1980;1200;3.4;;19.8;;;;
83222;07/01/1980;0000;;28.8;;4.5;80.25;1.4;
83222;07/01/1980;1200;14.6;;19.9;;;;
83222;08/01/1980;0000;;27.9;;2.1;89.25;2.066667;
83222;08/01/1980;1200;7.5;;20.5;;;;
83222;09/01/1980;0000;;27.8;;2.6;86.75;1.9;
83222;09/01/1980;1200;4.8;;21;;;;
83222;10/01/1980;0000;;30;;4.9;82.5;0.9;
83222;10/01/1980;1200;0.2;;21.8;;;;
83222;11/01/1980;0000;;31.1;;8.6;72.75;1.9;
83222;11/01/1980;1200;0;;22.4;;;;
83222;12/01/1980;0000;;30.4;;4.1;78.25;1.9;
83222;12/01/1980;1200;0;;22.1;;;;
83222;13/01/1980;0000;;31.3;21.6;5.3;85.5;1.4;
83222;13/01/1980;1200;0;;21.6;;;;
83222;14/01/1980;0000;;28.6;;1.5;87;3.066667;
